structure_id,timestamp,defect_points,total_points,defect_ratio_pct,max_deviation_m,mean_deviation_m,flagged
bridge_span_A,1734300001.0,1240,89432,1.39,0.0821,0.0041,False
bridge_span_B,1734300060.0,3821,91200,4.19,0.1432,0.0089,True
column_01,1734300120.0,421,44300,0.95,0.0512,0.0028,False
column_02,1734300180.0,892,45100,1.98,0.0743,0.0051,False
beam_north_01,1734300240.0,2103,67800,3.10,0.1120,0.0074,True
beam_north_02,1734300300.0,310,65900,0.47,0.0381,0.0019,False
pier_east,1734300360.0,4412,102300,4.31,0.1893,0.0112,True
pier_west,1734300420.0,287,98700,0.29,0.0298,0.0015,False
deck_section_1,1734300480.0,1892,134500,1.41,0.0654,0.0038,False
deck_section_2,1734300540.0,5631,138900,4.05,0.2103,0.0129,True
